Bee #,Nonadecane,Hexadecanolide,Octadecanal,Heneicosane,Octadecadienoic Acid,Octadecanolide,Octadecenolide,Eicosanal,Tricosene,Tricosane,Unknown RI2360,Eicosanolide,Eicosenolide,Pentacosene,Pentacosane,Unknown RI2496,11/13-methylpentacosane?,Docosene,Unknown RI2568,Hexacosene,Unknown RI2620,Docosenolide,Docosanolide,Heptacosadiene,Unknown RI2687,Heptacosene,Heptacosane,Unknown RI2739,Octacosane,Tetracosanolide,Tetracosenolide,Nonacosene,3-Methyl-3-Butenyl Docosanoate,Nonacosane,Hexacosenolide,Hexacosanolide,Triacontane,3-Methyl-3-Butenyl Tetracosanoate,Tritriacontane,Pentatriacontene,Heptatriacontadiene,Heptatriacontene,Unknown RI2155,11-Methyltricosane,Alkane_total,Alkene_total,Methylalkane_total,Lactone_total
379,0.009,8.321,0.217,0.926,0.558,5.301,8.981,0.119,0.275,7.302,5.566,0.875,0.308,4.359,7.082,0.242,0.716,0.096,0.003,0.452,0.038,0,0.892,0.028,0.086,5.97,6.385,0.053,0.101,0.032,0.055,1.51,0.107,1.544,0.004,0.014,0.019,0.209,0.118,0.011,0.013,0.045,0.185,0.151,23.487,12.76,0.866,24.781
386,0.025,7.709,0.179,3.276,0.199,4.532,8.314,0.083,6.887,7.685,3.897,0.791,0.183,0.305,4.165,0.119,0.051,0.339,0.005,0.028,0.028,0.051,0.291,0.016,0.039,0.286,4.231,0.02,0.058,0,0.497,0.091,0.017,1.067,0.004,0.01,0.011,0.073,0.031,0.008,0.008,0.005,0.05,0.045,20.548,7.974,0.096,22.383
398,0.005,0.037,0.002,0.036,0,0.106,0.011,0.001,0.025,1.023,0.021,0.208,0.086,0.044,1.535,0.032,0.003,0.011,0.007,0.002,0.025,0.045,0.19,0.046,0.028,0.079,1.301,0.001,0.004,0.007,0.028,0.001,0,0.017,0.001,0,0.002,0,0.002,0.048,0.13,0.026,0.002,0.006,3.925,0.413,0.009,0.719
399,0.006,0.039,0.003,0.316,0.002,5.66,1.31,0.006,0.027,3.312,0.025,4.22,5.425,0.022,3.973,0.936,0.019,0.068,0.194,0.009,0.14,3.69,4.045,0.024,0.207,0.059,3.678,0.09,0.333,1.631,1.414,0.056,0.274,0.401,0.036,0.03,0.006,0.074,0.013,0.093,0.199,0.117,0.003,0.008,12.037,0.675,0.027,27.5
400,0.004,0.033,0.001,0.042,0,2.154,0.251,0.001,0.019,0.962,0.02,1.237,0.599,0.006,3.977,0.096,0.014,0.015,0.108,0.004,0.145,0.173,0.737,0,0.025,0.012,1.084,0.002,0.011,0.034,0.043,0,0.002,0.129,0.001,0,0.002,0.003,0.003,0.133,0.205,0.078,0.002,0.005,6.214,0.472,0.02,5.265
401,0.001,0.033,0,0.043,0,2.168,0.276,0.001,0.018,1.676,0.02,1.435,0.737,0.003,1.696,0.066,0.018,0.021,0.134,0.002,0.408,0.253,0.888,0.002,0.032,0.032,1.803,0.004,0.017,0.05,0.064,0,0.005,0.079,0.001,0,0.001,0.002,0.003,0.108,0.167,0.105,0,0.006,5.319,0.459,0.025,5.906
402,0.005,0.044,0.003,0.044,0.001,1.781,0.254,0.002,0.021,1.049,0.022,1.108,0.59,0.011,3.597,0.093,0.011,0.042,0.537,0.012,0.839,0.291,0.919,0.028,0.031,0.072,2.529,0.006,0.029,0.102,0.093,0.006,0.007,0.257,0.003,0.003,0.003,0.005,0.007,0.209,0.45,0.281,0.003,0.006,7.521,1.132,0.016,5.188
403,0.001,0.033,0,0.033,0,0.341,0.045,0,0.023,1.697,0.02,1.069,0.535,0.167,2.54,0.078,0.032,0.023,0.022,0.006,0.095,0.225,0.836,0.013,0.049,0.263,1.223,0.006,0.018,0.066,0.066,0.03,0.003,0.022,0.001,0,0.001,0,0.001,0.022,0.11,0.015,0,0.01,5.536,0.672,0.041,3.218
404,0.001,0.04,0.002,0.04,0.001,4.469,1.144,0.003,0.022,0.912,0.023,3.104,2.304,0.01,2.086,0.131,0.01,0.045,0.345,0.009,0.562,1.131,2.591,0.016,0.047,0.135,2.777,0.015,0.099,0.46,0.442,0.003,0.035,0.126,0.004,0.005,0.002,0.034,0.008,0.119,0.248,0.091,0.002,0.002,6.053,0.698,0.011,15.693
614,0.009,0.032,0,1.418,0.002,4.873,0.354,0.002,0.022,2.52,0.024,3.854,5.028,0.06,3.405,0.356,0.02,0.026,1.228,0.008,0.819,3.292,3.621,0.034,0.439,0.565,1.738,0.109,0.244,1.144,1.682,0.133,0.086,0.206,0.083,0.027,0.003,0.004,0.003,0.019,0.103,0.017,0,0.005,9.548,0.987,0.025,23.989
